,App,Num Nodes,App Time Average Mean,App Time Average Median,App Time Average Std,MPI Time Average Mean,MPI Time Average Median,MPI Time Average Std,Total Messages Sent Mean,Total Messages Sent Median,Total Messages Sent Std
0,amg,8,342.5,343.0,1.0,12.7780859375,13.185714285714285,0.9950166817387743,106441449.0,106441449.0,0.0
1,beatnik,1,370.14732142857144,372.4375,6.710142702919029,84.76919642857142,84.92946428571427,1.4523741522577056,375894.0,375894.0,0.0
2,beatnik,8,397.734375,396.97767857142856,4.8608076871209045,99.90636160714286,98.49129464285716,3.2828181915267995,19996182.0,19996182.0,0.0
3,fiesta,1,298.6830357142857,298.6875,0.1664805508445771,37.26616071428571,37.48258928571428,1.644728621542294,67200.0,67200.0,0.0
4,fiesta,8,359.09151785714283,357.4709821428571,3.6888707385431845,65.67544642857143,64.00301339285714,5.6820570963558445,645120.0,645120.0,0.0
5,kripke,8,354.5,354.5,0.5773502691896257,17.00658482142857,16.945200892857144,0.5473244781871456,302720.0,302720.0,0.0
6,laghos,8,331.2377232142857,332.0078125,15.99406317772097,54.944977678571426,55.50323660714286,15.08098570957803,801311390.0,801311390.0,0.0
7,lammps,1,265.75,266.5,2.8722813232690143,3.272008928571428,3.249017857142857,0.05372683312637295,44688.0,44688.0,0.0
8,lammps,8,354.75,356.0,3.304037933599835,17.381222098214288,17.574631696428572,2.804268828085944,457408.0,457408.0,0.0
9,minife,1,383.75,384.0,1.2583057392117973,9.700491071428571,9.945357142857143,0.684814581746986,637048.0,637048.0,0.0
10,minife,8,388.25,388.0,0.5,13.601356026785712,13.545245535714283,0.31531106487656974,6788000.0,6788000.0,0.0
11,minivite,1,441.25,441.0,2.0615528128088303,27.82138392857143,28.08741071428571,1.1483225933421768,747720.0,747720.0,0.0
12,minivite,8,371.25,370.5,4.193248541803036,51.597265625000006,51.53046875,2.688985622884487,24089720.0,24089720.0,0.0
13,quicksilver,8,295.0,295.0,0.816496580927726,133.99549665178571,133.83996651785714,0.6963435674750208,762710.0,762710.0,0.0
14,tricount,1,280.5,280.0,1.0000000000000047,49.52232142857142,49.474107142857136,0.5035471540924019,243320.0,243320.0,0.0
15,tricount,8,378.0,379.0,5.291502622129185,204.07254464285714,205.28013392857144,5.325893636740052,7120960.0,7120960.0,0.0
